cat_id ra dec V_Swope_flux V_Swope_fluxerr g_PS gerr_PS r_PS rerr_PS i_PS ierr_PS
0.0 88.089816 15.74829 12824.829 173.1730782891 16.8393 0.0045 16.3127 0.0015 16.0787 0.008
0.0 88.235916 15.748721 13227.011 154.99943606115 16.7926 0.0035 16.4478 0.0029 16.3026 0.0031
0.0 88.161636 15.75005 16625.299 160.1980715723 16.707 0.003 16.0344 0.0034 15.7646 0.002
0.0 88.044591 15.753449 42516.193 252.48610642491 15.5785 0.0048 15.132 0.0023 14.9383 0.0032
0.0 88.01563 15.754797 38752.97 204.81445863607 15.7974 0.0028 15.0389 0.0017 14.6497 0.0026
0.0 88.063629 15.756731 24196.634 152.43502692571 16.2019 0.0004 15.7213 0.002 15.5147 0.0032
0.0 88.052786 15.756719 8900.953 139.13978156261 17.2725 0.0028 16.7487 0.0016 16.4972 0.0054
0.0 88.070711 15.756936 12736.823 158.58247032461 16.8896 0.0039 16.3496 0.0024 16.1137 0.0079
0.0 88.099207 15.758652 30526.311 176.70234737655 15.9501 0.0038 15.4736 0.0015 15.2652 0.0046
0.0 88.041704 15.758343 16078.914 159.48108535475 16.7205 0.0016 16.0057 0.0027 15.6585 0.0082
0.0 88.248708 15.757512 7712.754 131.75646678525 17.6086 0.005 16.809 0.0036 16.4285 0.0018
0.0 88.066237 15.758302 8665.054 127.90811698407 17.3364 0.0037 16.7958 0.002 16.5622 0.0
0.0 88.074617 15.758959 20827.929 191.33037925922 16.445 0.0032 15.793 0.0026 15.49 0.0016
0.0 88.175146 15.762731 48790.764 205.77725109741 15.412 0.0031 14.9726 0.0021 14.7988 0.0036
0.0 88.065495 15.761983 16293.153 134.37516721243 16.5859 0.0067 16.1609 0.0021 15.9661 0.0069
0.0 88.024675 15.763916 107461.587 269.20440291585 14.5678 0.0021 14.1353 0.0053 13.9005 0.0114
0.0 88.013273 15.768423 27220.067 175.80647340366 16.0361 0.0107 15.6473 0.0026 15.452 0.0032
0.0 88.197491 15.768289 19205.125 126.074850353 16.488 0.0023 15.9238 0.002 15.6765 0.0058
0.0 88.168421 15.768902 9056.057 119.58491690808 17.1993 0.0046 16.8608 0.002 16.7092 0.0057
0.0 88.149389 15.77147 10666.352 143.92345518569 17.2667 0.0032 16.2843 0.0016 15.8571 0.0034
0.0 88.235623 15.771374 7726.731 126.12873598316 17.4095 0.0027 16.922 0.002 16.7147 0.0036
0.0 88.036861 15.774821 77711.05 235.3389633572 14.871 0.0031 14.5241 0.0012 14.3915 0.0017
0.0 88.168303 15.772731 11656.77 133.54853586787 17.1064 0.0034 16.3151 0.0019 15.9671 0.004
0.0 88.072884 15.773326 21826.098 157.36326950332 16.4753 0.0122 15.5773 0.0016 15.2168 0.0032
0.0 88.00806 15.772837 9927.682 125.18598524932 17.0899 0.0033 16.717 0.0011 16.5605 0.0025
0.0 88.146125 15.773992 7852.169 144.23470079346 17.3454 0.0077 16.9996 0.0023 16.8635 0.0046
0.0 88.049042 15.77649 26455.508 147.32187505982 16.1077 0.0051 15.6087 0.0015 15.3832 0.0018
0.0 88.216931 15.776728 12562.101 156.0406833734 16.9176 0.005 16.4191 0.0033 16.2051 0.0095
0.0 88.206222 15.776884 8936.924 132.48805740278 17.4294 0.0005 16.5442 0.0024 16.1668 0.0121
0.0 88.020116 15.778299 25092.026 163.87377872112 16.0923 0.0036 15.7539 0.0019 15.6147 0.0016
0.0 88.007208 15.778977 39412.485 207.33067804438 15.8921 0.0029 14.7852 0.0015 14.2829 0.0027
0.0 88.222256 15.783987 97361.179 247.58277932288 14.918 0.0038 13.9306 0.0018 13.4761 0.0
0.0 88.068489 15.78425 61516.133 183.50964135874 15.1689 0.001 14.7624 0.0021 14.5939 0.001
0.0 88.122654 15.784412 11693.068 141.97398201176 16.9294 0.0077 16.4891 0.002 16.2713 0.0029
0.0 88.012869 15.785839 82313.591 284.39731805805 14.7874 0.0032 14.4557 0.0015 14.3424 0.0095
0.0 88.179704 15.785194 8294.984 126.28293857515 17.4697 0.004 16.8088 0.0035 16.5239 0.0046
0.0 88.104749 15.785713 8557.208 141.41000876432 17.4786 0.0059 16.4742 0.0014 16.0534 0.0028
0.0 88.017978 15.787127 46785.397 185.31298387685 15.506 0.0018 14.9716 0.0015 14.7305 0.0022
0.0 88.162699 15.786591 12717.089 152.51107765276 16.9191 0.0032 16.4155 0.0019 16.1857 0.0053
0.0 88.14527 15.787002 21220.893 151.24307189623 16.3396 0.004 15.8888 0.0023 15.6872 0.0038
0.0 88.113012 15.787606 11495.779 155.64634589825 17.0033 0.0052 16.4944 0.0025 16.2668 0.0016
0.0 88.004252 15.786816 8958.815 134.29271711503 17.2515 0.0028 16.8166 0.0021 16.6177 0.0021
0.0 88.192966 15.788416 17514.294 153.39926007296 16.5619 0.0029 16.0599 0.0014 15.8507 0.0035
0.0 88.141176 15.790729 100560.016 301.12350498348 14.6521 0.0022 14.2064 0.0042 14.0149 0.0036
0.0 88.004058 15.790444 70278.449 301.71015499295 15.1348 0.0021 14.4303 0.002 14.1448 0.0012
0.0 88.021113 15.789501 8125.656 137.5991496737 17.4765 0.0086 16.6644 0.0047 16.3189 0.0038
0.0 88.123581 15.792304 16184.736 154.05114150337 16.6419 0.0028 16.1354 0.0027 15.8895 0.0031
0.0 88.218735 15.793529 21506.435 166.354803795 16.3047 0.0023 15.904 0.0021 15.7331 0.0067
0.0 88.188877 15.794632 16669.833 131.12163042934 16.6999 0.0042 16.0434 0.0017 15.7854 0.0022
0.0 88.192562 15.796138 49391.613 187.51385289863 15.3703 0.0019 15.033 0.0041 14.9033 0.0032
0.0 88.175275 15.795736 8533.915 148.5100188181 17.3227 0.002 16.8562 0.0025 16.6465 0.0061
0.0 88.083247 15.796828 20489.782 152.47775292905 16.3267 0.0028 15.9275 0.0019 15.7698 0.0061
0.0 88.006768 15.796325 8836.126 145.59737267225 17.3082 0.0065 16.8206 0.0017 16.6147 0.0027
0.0 88.151656 15.799293 21671.554 136.92302118639 16.3628 0.0032 15.7919 0.0013 15.5322 0.0052
0.0 88.129945 15.799752 13924.756 148.98661921835 16.7816 0.0048 16.4067 0.0026 16.2437 0.0056
0.0 88.043909 15.800796 13442.41 159.88629344132 16.8651 0.0023 16.3223 0.0024 16.0959 0.0029
0.0 88.096896 15.800621 17102.308 150.42395303311 16.5402 0.0039 16.1339 0.002 15.9822 0.009
0.0 88.10214 15.80268 19195.478 161.08792126578 16.4474 0.0066 16.0005 0.0021 15.8 0.0042
0.0 88.238872 15.802916 8232.486 140.83238657626 17.321 0.0015 17.0103 0.0021 16.8753 0.0021
0.0 88.171481 15.80297 9711.169 137.70823886671 17.2451 0.0054 16.622 0.0061 16.3509 0.0041
0.0 88.103044 15.805292 97164.558 307.04801958546 14.6626 0.0064 14.2452 0.0015 14.0803 0.0037
0.0 88.040211 15.803052 9127.392 150.09483896008 17.2516 0.004 16.7203 0.0024 16.5111 0.0072
0.0 88.226042 15.803941 9262.281 140.42397213594 17.2359 0.0041 16.8044 0.0021 16.6053 0.0033
0.0 88.024904 15.805856 102563.999 282.11474323232 14.6102 0.0028 14.168 0.0035 14.0004 0.0032
0.0 88.136639 15.80482 19143.864 158.30499947113 16.5592 0.003 15.9323 0.0017 15.6798 0.0046
0.0 88.177147 15.805898 33290.293 185.96742626255 15.8519 0.0032 15.3871 0.0025 15.1957 0.0012
0.0 88.208189 15.806751 8021.643 122.69778135925 17.4016 0.0052 16.9151 0.0022 16.7063 0.0072
0.0 88.129639 15.808185 57148.647 206.47564085923 15.3081 0.0029 14.757 0.0027 14.5229 0.0031
0.0 88.097844 15.808508 22927.983 144.51118008651 16.2616 0.0034 15.7757 0.0016 15.5649 0.0067
0.0 88.008103 15.808779 26866.671 148.3046921094 16.0534 0.0025 15.6346 0.0011 15.4683 0.003
0.0 88.160909 15.809836 23882.142 154.60841318229 16.1583 0.0037 15.7778 0.002 15.6155 0.0022
0.0 88.016474 15.808859 10646.034 143.16328060942 17.1813 0.0048 16.4622 0.0024 16.1518 0.0038
0.0 88.102158 15.810083 12358.032 150.25980617725 16.9551 0.0056 16.3418 0.0032 16.0651 0.006
0.0 88.121809 15.810705 18274.512 139.97646729771 16.4927 0.0033 15.9885 0.0029 15.7742 0.0055
0.0 88.02443 15.813026 14228.736 155.53518515174 16.7467 0.0046 16.249 0.0022 16.024 0.0015
0.0 88.14269 15.81349 39143.442 175.00041553279 15.7467 0.0017 15.1232 0.0019 14.8365 0.0074
0.0 88.227592 15.814458 71329.992 232.48405801912 15.0642 0.0035 14.4988 0.0031 14.2828 0.0047
0.0 88.010953 15.813414 23903.344 171.4296042816 16.1625 0.003 15.7553 0.0032 15.5671 0.0015
0.0 88.180613 15.814193 13372.089 139.33428153222 16.8439 0.0049 16.4608 0.0029 16.3127 0.0054
0.0 88.175273 15.814565 20700.658 154.00675188299 16.356 0.0056 15.9485 0.0016 15.7902 0.0109
0.0 88.16615 15.814644 15535.572 145.83873709883 16.663 0.0021 16.202 0.0009 15.9983 0.0035
0.0 88.050796 15.814677 15233.868 158.28300724181 16.8554 0.0023 15.998 0.0022 15.6006 0.0041
0.0 88.171812 15.814798 9350.55 150.55846246362 17.1374 0.0021 16.8282 0.0041 16.7024 0.0064
0.0 88.046314 15.817232 129873.64 449.14081888291 14.3 0.0022 13.9528 0.004 13.7758 0.0044
0.0 88.160953 15.818532 33217.287 175.74042639376 15.8388 0.0007 15.377 0.0017 15.1861 0.0033
0.0 88.183055 15.819424 16350.439 133.69566957432 16.7542 0.005 15.9597 0.003 15.5953 0.0046
0.0 88.070726 15.819449 8153.097 147.15975937212 17.3764 0.0041 16.859 0.0023 16.6308 0.0037
0.0 88.007498 15.819899 31949.604 227.73712449435 15.8243 0.0051 15.4304 0.0014 15.2527 0.0019
0.0 88.07302 15.821916 56394.248 302.90413552009 15.2562 0.0011 14.8071 0.0024 14.6262 0.0027
0.0 88.004966 15.820657 16721.693 162.21648332723 16.578 0.0034 16.1171 0.0019 15.9163 0.0063
0.0 88.010355 15.821107 8881.436 136.67927147665 17.2165 0.0035 16.8186 0.0018 16.6464 0.0032
0.0 88.248073 15.824068 11815.349 134.30594530916 16.8906 0.0023 16.5742 0.0023 16.4559 0.0025
0.0 88.229221 15.824439 8605.908 131.27569821201 17.2732 0.002 16.8294 0.003 16.6359 0.009
0.0 88.181727 15.829314 27526.252 142.89582096128 16.0659 0.0026 15.565 0.0023 15.3631 0.0084
0.0 88.068569 15.83026 18052.672 155.3391713897 16.4522 0.0021 16.0968 0.001 15.9901 0.0042
0.0 88.175082 15.832192 15244.279 159.75756086263 16.7115 0.0001 16.2122 0.0023 15.9832 0.0094
0.0 88.201556 15.832559 11242.844 142.95544409185 17.0131 0.0003 16.5839 0.0017 16.4095 0.0064
