cat_id ra dec g_Swope_flux g_Swope_fluxerr g_PS gerr_PS r_PS rerr_PS i_PS ierr_PS
0.0 323.093534 0.224723 14099.529 94.816924485393 16.9365 0.0064 15.9566 0.0024 15.5545 0.0012
0.0 322.939631 0.22639 3613.657 38.619043235217 18.3928 0.0106 17.6117 0.0033 17.3054 0.0024
0.0 323.171283 0.227275 2028.769 33.927288417288 19.0691 0.0068 18.3705 0.0055 18.061 0.0041
0.0 323.170768 0.230255 2480.446 36.878505948249 18.8694 0.0073 18.0905 0.0049 17.7709 0.0041
0.0 323.177884 0.2341 59138.434 36.266363664138 15.4329 0.0016 15.0068 0.0023 14.8609 0.0013
0.0 323.160799 0.23175 2434.291 31.242856546492 18.82 0.006 17.5994 0.0034 16.9261 0.0033
0.0 323.015204 0.238487 172923.976 222.99899438013 14.2601 0.0046 13.7695 0.0029 13.6055 0.0013
0.0 323.018301 0.236426 51465.234 52.968982630994 15.5185 0.0051 15.0389 0.0029 14.8515 0.0025
0.0 323.148286 0.234826 5774.067 62.10802787537 17.9887 0.0031 17.5337 0.0065 17.3486 0.0029
0.0 323.02185 0.235746 8820.111 86.343619172922 17.5067 0.0032 17.2394 0.0055 17.1276 0.0029
0.0 323.118548 0.237076 18156.036 43.783700860454 16.6852 0.0061 16.1679 0.0031 15.9708 0.0031
0.0 323.163375 0.237596 5248.629 34.234830047663 17.9843 0.0045 16.8934 0.0059 16.4363 0.0028
0.0 322.952602 0.24084 20652.599 241.04875648734 16.5281 0.0024 15.9643 0.0021 15.7421 0.0018
0.0 322.972184 0.241908 44345.979 47.542745067926 15.7128 0.0009 15.022 0.0044 14.7141 0.0012
0.0 323.072626 0.240115 5381.993 40.070793789972 18.0407 0.0058 17.5177 0.0034 17.3105 0.0065
0.0 323.016962 0.2403 4480.987 32.805462017761 18.1923 0.0048 17.5874 0.0046 17.3206 0.0046
0.0 322.960981 0.24119 4975.212 30.839966710533 18.0589 0.0069 16.8827 0.0052 16.1881 0.0022
