cat_id ra dec B_Swope_flux B_Swope_fluxerr g_PS gerr_PS r_PS rerr_PS i_PS ierr_PS
0.0 323.035665 0.13538 312839.607 2621.3455977863 14.431 0.0024 13.8248 0.0038 13.572 0.0021
0.0 322.991685 0.137253 28748.425 331.11367218874 16.9789 0.0032 16.4173 0.0027 16.1953 0.0013
0.0 323.080331 0.136762 16589.46 122.31036274529 17.7421 0.0034 17.2397 0.0037 17.0669 0.0031
0.0 322.927119 0.138714 37927.811 440.8516271338 16.6827 0.0032 16.0558 0.0023 15.8145 0.0015
0.0 322.94432 0.136927 5524.176 97.94309664177 18.7987 0.0109 18.1705 0.0037 17.8776 0.003
0.0 322.957086 0.139728 43040.71 534.08005790466 16.5575 0.0039 16.0021 0.0035 15.7804 0.0025
0.0 323.058518 0.139493 7782.506 91.227210746306 18.5721 0.0073 18.1057 0.0032 17.928 0.0022
0.0 323.016375 0.141168 4676.055 74.627952391263 19.0659 0.0074 18.5672 0.0086 18.417 0.0041
0.0 322.93933 0.141571 7577.625 100.76989128234 18.5261 0.0082 18.0955 0.0039 17.9205 0.0028
0.0 323.051943 0.146967 6318.753 71.519099537105 18.6962 0.0064 17.8568 0.0033 17.5049 0.0026
0.0 322.926593 0.149943 67309.568 761.06634528506 16.2127 0.0069 15.8658 0.0031 15.7207 0.0028
0.0 323.011299 0.151324 50129.503 516.75774519531 16.5426 0.0035 16.1354 0.0032 15.994 0.0021
0.0 323.071513 0.148419 4440.395 64.892336474544 19.3219 0.0091 18.9505 0.0111 18.809 0.006
0.0 323.052866 0.152346 15372.263 113.53482043874 17.8527 0.0022 17.4245 0.0042 17.2792 0.0037
0.0 322.938112 0.158024 277785.493 2787.2078876408 14.6632 0.0038 14.2717 0.0028 14.1168 0.0027
0.0 322.988524 0.155602 5873.801 79.851998943793 18.7582 0.0069 18.1055 0.0043 17.836 0.0039
0.0 322.976103 0.162186 190767.425 1620.1287611324 15.0327 0.0022 14.4932 0.0008 14.3042 0.003
0.0 323.026991 0.160191 4491.863 65.510292121452 19.0866 0.0082 18.313 0.0069 18.0183 0.0038
0.0 323.014355 0.160507 8203.826 92.834693715233 18.379 0.0052 17.6362 0.0042 17.3451 0.0031
0.0 323.12295 0.162728 31002.966 161.22609579051 17.1627 0.0046 16.7928 0.0035 16.6436 0.0021
0.0 322.953194 0.163393 14644.382 148.92810982455 17.7479 0.0046 17.0667 0.0027 16.7726 0.0026
0.0 323.116164 0.164375 13065.114 96.447971582088 18.1381 0.0058 17.7772 0.0028 17.6525 0.0039
0.0 323.106994 0.16753 3277.958 59.536326485625 19.5192 0.0128 18.9322 0.0077 18.6684 0.0042
0.0 323.160845 0.169465 7633.804 72.572887103713 18.6221 0.0082 18.2469 0.0058 18.1099 0.0031
0.0 322.969834 0.178475 140781.737 897.72589370853 15.4723 0.0017 15.1354 0.0028 15.0022 0.0014
0.0 322.997637 0.177887 43890.687 237.37018660897 16.5804 0.0031 15.7934 0.0041 15.4999 0.0022
0.0 322.93982 0.184841 31347.253 204.09900528599 17.0831 0.0068 16.685 0.0041 16.5356 0.0017
0.0 322.961546 0.187256 117387.36 652.63143155066 15.5169 0.0025 14.8998 0.001 14.622 0.0024
0.0 323.041622 0.187165 6074.138 62.934507001404 18.8772 0.0141 18.4782 0.0084 18.3185 0.0033
0.0 322.987906 0.190279 74941.235 346.62479635214 16.1037 0.0022 15.635 0.0014 15.4766 0.0014
0.0 323.102103 0.188906 22264.922 123.4521139208 17.5066 0.0071 17.0288 0.0059 16.8477 0.0032
0.0 323.157151 0.18946 7145.339 74.634211922429 18.7187 0.0069 18.3532 0.0069 18.2189 0.0066
0.0 323.053235 0.189517 6428.051 74.639193716651 18.714 0.0064 17.9946 0.0058 17.696 0.0044
0.0 323.029952 0.1893 4623.17 65.607092056377 19.2763 0.012 19.0021 0.0065 18.8958 0.0064
0.0 323.013538 0.191167 32334.57 213.44746005716 16.901 0.0005 16.1735 0.0064 15.88 0.0023
