cat_id ra dec r_Swope_flux r_Swope_fluxerr g_PS gerr_PS r_PS rerr_PS i_PS ierr_PS
0.0 88.049916 15.770557 1408.905 1.0 18.9657 0.0074 18.5035 0.006 18.3119 0.0109
0.0 88.022789 15.770065 578.333 1.0 20.1251 0.0568 19.3946 0.0084 19.0358 0.0095
0.0 88.168321 15.772748 11272.876 1.0 17.1064 0.0034 16.3151 0.0019 15.9671 0.004
0.0 88.1995 15.771004 1335.35 1.0 19.1089 0.0139 18.615 0.0052 18.3877 0.0088
0.0 88.182726 15.7708 959.681 1.0 19.8821 0.0311 18.9319 0.0071 18.5338 0.0044
0.0 88.03687 15.774835 53334.78 1.0 14.871 0.0031 14.5241 0.0012 14.3915 0.0017
0.0 88.013775 15.771858 2829.23 1.0 18.4746 0.0067 17.6804 0.0023 17.3434 0.0016
0.0 88.035842 15.771569 1388.575 1.0 19.503 0.0193 18.4771 0.0043 18.0361 0.0107
0.0 88.081904 15.771302 1029.967 1.0 19.3426 0.0171 18.9105 0.0062 18.7204 0.0122
0.0 88.054776 15.771272 542.772 1.0 20.242 0.0193 19.5247 0.0073 19.2631 0.0146
0.0 88.072888 15.773345 20919.266 1.0 16.4753 0.0122 15.5773 0.0016 15.2168 0.0032
0.0 88.008079 15.772865 6815.803 1.0 17.0899 0.0033 16.717 0.0011 16.5605 0.0025
0.0 88.113868 15.771755 777.947 1.0 20.3121 0.0257 19.2713 0.0067 18.8278 0.0069
0.0 88.232395 15.772724 1763.692 1.0 19.4525 0.0083 18.2077 0.0046 17.6038 0.005
0.0 88.051068 15.772736 2078.312 1.0 19.2887 0.0158 18.1332 0.0036 17.6023 0.0103
0.0 88.203884 15.772804 1378.533 1.0 19.1077 0.0143 18.515 0.0063 18.2725 0.0065
0.0 88.083401 15.773133 977.728 1.0 19.5476 0.0269 18.9153 0.0062 18.5857 0.003
0.0 88.043574 15.772554 583.676 1.0 20.3057 0.0268 19.5291 0.0081 19.2259 0.005
0.0 88.14614 15.773979 5827.043 1.0 17.3454 0.0077 16.9996 0.0023 16.8635 0.0046
0.0 88.125449 15.772375 489.917 1.0 20.2685 0.0204 19.5384 0.0092 19.2041 0.0089
0.0 88.206928 15.773695 2219.097 1.0 18.7079 0.0028 18.0484 0.0019 17.7713 0.0049
0.0 88.188067 15.773842 654.517 1.0 20.2309 0.0274 19.3829 0.0178 19.0378 0.0126
0.0 88.049049 15.776499 19759.145 1.0 16.1077 0.0051 15.6087 0.0015 15.3832 0.0018
0.0 88.17022 15.774727 941.509 1.0 19.5069 0.0077 18.9417 0.0049 18.6686 0.0124
0.0 88.11841 15.77498 891.257 1.0 20.0882 0.0218 19.0581 0.0052 18.5821 0.0032
0.0 88.216945 15.776715 9754.544 1.0 16.9176 0.005 16.4191 0.0033 16.2051 0.0095
0.0 88.007226 15.779001 40026.645 1.0 15.8921 0.0029 14.7852 0.0015 14.2829 0.0027
0.0 88.205989 15.777005 15888.839 1.0 17.4294 0.0005 16.5442 0.0024 16.1668 0.0121
0.0 88.045747 15.776664 5480.004 1.0 17.4767 0.0037 17.0237 0.0024 16.8241 0.0021
0.0 88.167459 15.776447 2980.655 1.0 19.0036 0.0121 17.7501 0.0039 17.1036 0.0117
0.0 88.020122 15.778307 17346.911 1.0 16.0923 0.0036 15.7539 0.0019 15.6147 0.0016
0.0 88.227857 15.776897 2526.758 1.0 18.2998 0.0061 17.8665 0.0024 17.6737 0.0087
0.0 88.157531 15.777353 2614.46 1.0 18.7884 0.0147 17.8834 0.0032 17.4989 0.0073
0.0 88.142042 15.777673 1892.062 1.0 18.785 0.0165 18.2812 0.003 18.0407 0.005
0.0 88.014084 15.777431 802.069 1.0 19.8927 0.0214 19.0993 0.0106 18.741 0.0088
0.0 88.241293 15.778371 3875.965 1.0 17.9646 0.0049 17.4613 0.0023 17.2372 0.0053
0.0 88.050973 15.77796 1274.784 1.0 19.435 0.0141 18.5356 0.0023 18.145 0.0077
0.0 88.054084 15.778378 2615.85 1.0 18.5185 0.0047 17.819 0.0029 17.5283 0.0027
0.0 88.102815 15.778097 1073.13 1.0 19.2946 0.0206 18.8055 0.007 18.5723 0.0154
0.0 88.150091 15.779018 1529.107 1.0 18.9368 0.0053 18.4157 0.0043 18.157 0.0073
0.0 88.084302 15.778179 384.524 1.0 21.3837 0.0229 20.0981 0.0108 19.4091 0.0107
0.0 88.012007 15.780147 5410.201 1.0 17.3971 0.003 16.986 0.0022 16.799 0.0034
0.0 88.203981 15.779898 840.386 1.0 19.5327 0.0317 19.0893 0.0069 18.8876 0.0106
0.0 88.233694 15.781204 3025.724 1.0 18.2262 0.0095 17.6836 0.003 17.4371 0.0
0.0 88.222272 15.783984 98936.256 1.0 14.918 0.0038 13.9306 0.0018 13.4761 0.0
0.0 88.255871 15.780674 1585.835 1.0 19.4986 0.017 18.3539 0.004 17.8559 0.0033
0.0 88.04602 15.780661 574.573 1.0 20.1947 0.0143 19.4899 0.0051 19.1642 0.0187
0.0 88.200576 15.782042 4458.895 1.0 18.5981 0.0122 17.3045 0.0032 16.3642 0.0057
0.0 88.147689 15.782055 3228.676 1.0 18.5973 0.0058 17.6484 0.0037 17.1739 0.0039
0.0 88.227707 15.781235 926.218 1.0 19.5429 0.0177 18.9904 0.0043 18.7115 0.0127
0.0 88.068502 15.784251 43606.705 1.0 15.1689 0.001 14.7624 0.0021 14.5939 0.001
0.0 88.155108 15.782116 1651.904 1.0 19.2327 0.0169 18.4058 0.0064 18.0089 0.008
0.0 88.13971 15.781963 658.008 1.0 19.8282 0.0185 19.3398 0.0063 19.1155 0.0104
0.0 88.178595 15.782046 592.893 1.0 20.5357 0.0134 19.4895 0.0068 19.0482 0.0159
0.0 88.012874 15.785852 57101.386 1.0 14.7874 0.0032 14.4557 0.0015 14.3424 0.0095
0.0 88.186528 15.783136 631.221 1.0 19.8976 0.0445 19.4165 0.0115 19.1635 0.0088
0.0 88.12268 15.784414 9659.557 1.0 16.9294 0.0077 16.4891 0.002 16.2713 0.0029
0.0 88.071564 15.785774 3634.074 1.0 17.9258 0.001 17.4418 0.0039 17.2103 0.0
0.0 88.179722 15.785208 7122.98 1.0 17.4697 0.004 16.8088 0.0035 16.5239 0.0046
0.0 88.194318 15.78431 1065.31 1.0 19.883 0.004 18.838 0.0055 18.3905 0.009
0.0 88.065395 15.78506 1894.404 1.0 19.2024 0.0099 18.1518 0.0034 17.6619 0.0047
0.0 88.189394 15.784502 626.451 1.0 20.2107 0.0261 19.4324 0.0088 19.0693 0.0073
0.0 88.104769 15.785719 9524.832 1.0 17.4786 0.0059 16.4742 0.0014 16.0534 0.0028
0.0 88.017059 15.784322 568.052 1.0 20.8142 0.0244 19.5874 0.0142 18.9633 0.0043
0.0 88.017988 15.787142 36284.757 1.0 15.506 0.0018 14.9716 0.0015 14.7305 0.0022
0.0 88.162731 15.786595 10386.619 1.0 16.9191 0.0032 16.4155 0.0019 16.1857 0.0053
0.0 88.201611 15.785679 2173.327 1.0 18.969 0.0133 18.0546 0.0024 17.6831 0.0088
0.0 88.135223 15.785346 1529.817 1.0 19.0336 0.0081 18.4429 0.0039 18.0764 0.0067
0.0 88.145295 15.787 16821.704 1.0 16.3396 0.004 15.8888 0.0023 15.6872 0.0038
0.0 88.00427 15.78682 6255.956 1.0 17.2515 0.0028 16.8166 0.0021 16.6177 0.0021
0.0 88.1285 15.786674 4167.934 1.0 17.914 0.006 17.4344 0.0023 17.1976 0.0052
0.0 88.08957 15.786393 2465.852 1.0 18.6442 0.0047 17.9136 0.0035 17.6055 0.0026
0.0 88.113021 15.787615 9442.603 1.0 17.0033 0.0052 16.4944 0.0025 16.2668 0.0016
0.0 88.057748 15.787273 4181.238 1.0 17.9087 0.0028 17.3078 0.0029 17.0503 0.0076
0.0 88.14119 15.790749 79343.565 1.0 14.6521 0.0022 14.2064 0.0042 14.0149 0.0036
0.0 88.050596 15.7866 539.074 1.0 20.145 0.0136 19.4534 0.0115 19.1089 0.0115
0.0 88.191143 15.787667 3055.977 1.0 18.6386 0.0051 17.7525 0.003 17.3978 0.0049
0.0 88.192979 15.788426 14151.839 1.0 16.5619 0.0029 16.0599 0.0014 15.8507 0.0035
0.0 88.00408 15.790464 58661.193 1.0 15.1348 0.0021 14.4303 0.002 14.1448 0.0012
0.0 88.165688 15.787258 1198.426 1.0 19.3074 0.0114 18.7197 0.0046 18.5248 0.0025
0.0 88.179821 15.787542 697.164 1.0 20.0244 0.021 19.4373 0.0119 19.1827 0.0124
0.0 88.196248 15.787889 926.29 1.0 19.772 0.0237 19.129 0.0098 18.8712 0.0049
0.0 88.048469 15.787211 503.062 1.0 20.3153 0.0111 19.5077 0.0064 19.1614 0.0139
0.0 88.010077 15.788344 1113.071 1.0 19.6067 0.0133 18.6806 0.0091 18.272 0.0077
0.0 88.080177 15.787795 913.876 1.0 19.9661 0.0307 19.032 0.0054 18.6359 0.0084
0.0 88.221212 15.789132 5886.161 1.0 17.5421 0.0043 17.0149 0.002 16.7762 0.0047
0.0 88.021133 15.78951 7569.185 1.0 17.4765 0.0086 16.6644 0.0047 16.3189 0.0038
0.0 88.115604 15.788487 1167.479 1.0 19.5255 0.0285 18.8707 0.0211 18.4803 0.0
0.0 88.133895 15.789463 5879.951 1.0 17.4756 0.0048 17.0082 0.0024 16.7999 0.0048
0.0 88.150038 15.789569 2247.342 1.0 18.7093 0.0053 18.0617 0.0039 17.7567 0.0032
0.0 88.096645 15.790344 1259.388 1.0 19.7107 0.01 18.6383 0.0048 18.1285 0.0033
0.0 88.147375 15.790355 3146.675 1.0 18.3126 0.0033 17.7284 0.0028 17.4558 0.0035
0.0 88.23011 15.790358 2039.919 1.0 18.5193 0.0073 18.107 0.0048 17.9385 0.0061
0.0 88.249624 15.790534 743.149 1.0 19.7357 0.0103 19.1742 0.0078 18.9319 0.0165
0.0 88.123594 15.792318 12886.908 1.0 16.6419 0.0028 16.1354 0.0027 15.8895 0.0031
0.0 88.218742 15.793545 15774.524 1.0 16.3047 0.0023 15.904 0.0021 15.7331 0.0067
0.0 88.161619 15.792253 2802.857 1.0 18.3205 0.0081 17.7977 0.0037 17.5664 0.0053
0.0 88.019133 15.792542 3219.144 1.0 18.0656 0.0054 17.6235 0.0042 17.4134 0.0042
0.0 88.059548 15.792505 3534.121 1.0 18.8279 0.0067 17.5456 0.0032 16.8038 0.0027
0.0 88.082162 15.792508 1808.23 1.0 18.8849 0.0048 18.2525 0.0038 17.9634 0.0067
0.0 88.220278 15.791889 436.782 1.0 20.6407 0.0224 19.9002 0.0085 19.6012 0.004
0.0 88.188905 15.794646 14291.768 1.0 16.6999 0.0042 16.0434 0.0017 15.7854 0.0022
0.0 88.172693 15.79401 2167.102 1.0 18.6073 0.009 18.1295 0.0059 17.9226 0.0101
