cat_id ra dec i_Swope_flux i_Swope_fluxerr g_PS gerr_PS r_PS rerr_PS i_PS ierr_PS
0.0 88.024686 15.763967 130037.938 91.103075328743 14.5678 0.0021 14.1353 0.0053 13.9005 0.0114
0.0 88.001168 15.76414 8454.821 143.88808252162 17.8695 0.0036 17.0986 0.0023 16.7826 0.003
0.0 87.994742 15.764959 11792.416 77.680545467906 17.113 0.0042 16.5821 0.0025 16.322 0.005
0.0 88.020058 15.764789 6242.862 86.914562688593 17.8538 0.0042 17.3789 0.0036 17.1705 0.002
0.0 88.048583 15.765458 9605.629 56.729066035133 17.4434 0.0037 16.9178 0.0019 16.6887 0.0074
0.0 88.130104 15.765596 4985.421 55.067387378148 18.0357 0.0147 17.5858 0.0033 17.3888 0.0044
0.0 88.120071 15.765571 3948.245 50.343283474455 18.5787 0.0057 17.983 0.0034 17.7312 0.0096
0.0 88.091209 15.766099 4161.356 69.035191700733 18.2542 0.0018 17.8103 0.0022 17.5991 0.0125
0.0 88.078737 15.766956 5567.869 58.3466023837 17.7805 0.004 17.4315 0.003 17.2686 0.0042
0.0 88.013279 15.768452 30922.763 57.305650734488 16.0361 0.0107 15.6473 0.0026 15.452 0.0032
0.0 88.197507 15.76832 25673.069 56.782007233876 16.488 0.0023 15.9238 0.002 15.6765 0.0058
0.0 88.185732 15.767157 4153.455 46.048976942232 18.2277 0.0125 17.8155 0.0028 17.6378 0.0067
0.0 88.099353 15.767488 3466.074 53.582443193379 18.6985 0.0094 18.1096 0.0058 17.8499 0.0056
0.0 88.038269 15.768925 7517.291 49.263786919591 17.354 0.0075 17.0619 0.002 16.9476 0.0052
0.0 88.168429 15.768937 9861.011 53.191833482517 17.1993 0.0046 16.8608 0.002 16.7092 0.0057
0.0 88.106973 15.770143 10628.021 54.023411285413 18.0684 0.01 17.0977 0.0023 16.6674 0.0022
0.0 88.011039 15.770375 8612.873 119.70802241244 17.6696 0.0099 17.0785 0.0021 16.8238 0.0028
0.0 88.149399 15.771499 22131.116 87.362679118376 17.2667 0.0032 16.2843 0.0016 15.8571 0.0034
0.0 88.235629 15.771396 9765.389 47.977310922395 17.4095 0.0027 16.922 0.002 16.7147 0.0036
0.0 88.224567 15.770753 3719.053 58.110496017076 18.7619 0.0264 18.0577 0.0088 17.7552 0.0058
0.0 87.994607 15.770776 4182.375 57.429259566457 18.1748 0.0045 17.7085 0.0048 17.4769 0.0062
0.0 88.036868 15.774849 83992.715 50.845987258808 14.871 0.0031 14.5241 0.0012 14.3915 0.0017
0.0 88.072887 15.77336 40549.397 53.544333866003 16.4753 0.0122 15.5773 0.0016 15.2168 0.0032
0.0 88.168295 15.772761 20083.328 50.55489526203 17.1064 0.0034 16.3151 0.0019 15.9671 0.004
0.0 88.008067 15.772862 11357.848 50.773051666416 17.0899 0.0033 16.717 0.0011 16.5605 0.0025
0.0 88.23239 15.772755 4388.173 49.580681979201 19.4525 0.0083 18.2077 0.0046 17.6038 0.005
0.0 88.051073 15.77275 4450.534 55.371631743175 19.2887 0.0158 18.1332 0.0036 17.6023 0.0103
0.0 87.989773 15.773735 8458.761 72.35516762668 19.3457 0.0077 18.0966 0.0031 16.8544 0.0053
0.0 88.146127 15.774011 8747.727 48.976532046444 17.3454 0.0077 16.9996 0.0023 16.8635 0.0046
0.0 88.206909 15.773703 3825.274 45.082167892974 18.7079 0.0028 18.0484 0.0019 17.7713 0.0049
0.0 87.994278 15.775057 5012.734 45.3116921642 17.9557 0.0038 17.5678 0.003 17.3937 0.0054
0.0 88.049056 15.776504 34383.681 45.769308873731 16.1077 0.0051 15.6087 0.0015 15.3832 0.0018
0.0 88.007222 15.779011 96124.546 50.469377338394 15.8921 0.0029 14.7852 0.0015 14.2829 0.0027
0.0 88.216934 15.776739 16342.812 64.514091143287 16.9176 0.005 16.4191 0.0033 16.2051 0.0095
0.0 88.206208 15.776889 16913.09 163.43026736015 17.4294 0.0005 16.5442 0.0024 16.1668 0.0121
0.0 88.045744 15.77668 9057.99 54.2178644655 17.4767 0.0037 17.0237 0.0024 16.8241 0.0021
0.0 88.167444 15.776464 7431.114 49.705595427293 19.0036 0.0121 17.7501 0.0039 17.1036 0.0117
0.0 88.020111 15.778318 26861.237 57.342884098962 16.0923 0.0036 15.7539 0.0019 15.6147 0.0016
